PhotoID,X,Y,Z,Omega,Phi,Kappa,r11,r12,r13,r21,r22,r23,r31,r32,r33
VID_20250107_103505_00_023.mp4.000000.0000,-106.39022064,-107.96913147,-65.87548828,90.39017186438512,33.88405629916009,-1.2477524855355926,0.8299706091110921,0.5575172859056317,-0.0179795419346873,0.0180774507771009,0.0053318444504036,0.9998223728283732,0.5575141198078881,-0.8301482080635814,-0.0056532171071555
VID_20250107_103505_00_023.mp4.000012.0000,-106.38213348,-107.94186401,-65.84693146,91.37878099718466,36.30439750411026,-3.116929793410689,0.804690657512922,0.5923363157465827,-0.0401327143261747,0.0438189599344709,0.0081577338272089,0.999006181226656,0.5920750327970966,-0.8056495146318711,-0.0193911090901999
VID_20250107_103505_00_023.mp4.000024.0001,-106.39490509,-107.8850708,-65.84695435,90.6627204296829,39.15136728833469,-2.9499015613073265,0.7744530984685409,0.631087740793081,-0.0441662958958764,0.0399083697018772,0.0209388620368061,0.9989839268398376,0.631371301454394,-0.7754288023263574,-0.0089695162910831
VID_20250107_103505_00_023.mp4.000036.0001,-106.47232819,-107.87677002,-65.88262939,89.20809022925363,48.097390595490566,-1.4069776172875248,0.6676650956480673,0.7436463071778845,-0.0348351815547561,0.0163987421316455,0.0320901026884478,0.9993504423203832,0.7442811305614008,-0.6678026618172024,0.0092305774522787
VID_20250107_103505_00_023.mp4.000048.0002,-106.73627472,-108.04534912,-65.90464783,86.09636774355654,70.27658569872595,1.0295979453154167,0.3374254810252248,0.9402204529100928,-0.0461469899823983,-0.006064146169488,0.0511920698315164,0.9986704151608784,0.9413327099841644,-0.3366970031287854,0.0229751430455653
VID_20250107_103505_00_023.mp4.000060.0002,-106.99699402,-108.92116547,-65.93593597,-69.94195626455628,79.10613317535571,159.27323759601907,-0.1767586525747279,0.9840994942044232,-0.0174517691528748,-0.0668858968824183,0.0056800608757911,0.9977444631300554,0.9819789486227296,0.1775272441487393,0.0648183773844492
VID_20250107_103505_00_023.mp4.000072.0003,-106.83187103,-110.31967163,-65.9702301,-84.27784362428936,47.13137610969449,175.34729458434785,-0.6780777456723117,0.7349479689656953,-0.0078774194477207,-0.0551846767500164,-0.0402211735134462,0.9976657299181916,0.7329155628556079,0.6769296419232955,0.067830948759745
VID_20250107_103505_00_023.mp4.000084.0003,-106.56890106,-111.70346069,-66.05718994,-86.35885831087225,9.41007725466326,178.5233578515142,-0.9862158026172202,0.1647517921556547,-0.0153374590324639,-0.02542264625033,-0.059281273592863,0.997917541512744,0.1634994792826666,0.9845519679441548,0.0626525553476373
VID_20250107_103505_00_023.mp4.000096.0004,-105.83192444,-112.60916138,-66.0801239,-84.09348774923907,-21.48757836918622,-178.0566550228004,-0.9299618254291202,-0.3676349670226687,-0.0039413534198382,0.0315543308932617,-0.0904906732209163,0.99539728865509,-0.3662995051135308,0.9255571128149068,0.0957533470502002
VID_20250107_103505_00_023.mp4.000108.0004,-104.94293213,-112.81655884,-65.93069458,-88.48209030687529,-51.39256965450699,-179.5804584402113,-0.6239642141555667,-0.7813383686050145,-0.0133795814165044,0.0045689857195078,-0.0207687732607109,0.999773865644997,-0.7814395586497535,0.6237619832940287,0.0165288951348547
VID_20250107_103505_00_023.mp4.000120.0005,-104.59016418,-112.81246185,-65.89070129,-85.60863083346717,-83.54956879721283,-176.7210830573345,-0.1121596797909332,-0.9935098544762624,-0.0189308026177338,0.0064256788523498,-0.019775759257615,0.9997837916255052,-0.9936694203207032,0.1120137866708431,0.0086020180874658
VID_20250107_103505_00_023.mp4.000132.0005,-104.58953857,-112.7124176,-65.90409851,83.88401672186902,-81.79513432082511,-7.568005090315677,0.1414698484888885,-0.989589924290276,-0.0264208953613806,0.0187957083496404,-0.023999426519439,0.99953526644855,-0.9897641149870844,-0.1419007021473263,0.0152048483691782
VID_20250107_103505_00_023.mp4.000144.0006,-104.71677399,-111.99938965,-65.93862915,85.58876597604109,-58.64427623476349,-4.191528370197006,0.5189580988963067,-0.8547679198500737,-0.0073684995154462,0.0380327555736591,0.0144776268632719,0.999171610797606,-0.8539531609481902,-0.5188084439517017,0.0400224610813571
VID_20250107_103505_00_023.mp4.000156.0006,-105.24914551,-110.77088165,-65.95438385,87.58250372511331,-35.46868480112888,-1.2733542792206114,0.8142316593965013,-0.5805356710020368,0.0022670532933415,0.0180986472061835,0.02928709074846,0.9994071769227983,-0.5802579114546619,-0.8137079334808692,0.0343533867990852
VID_20250107_103505_00_023.mp4.000168.0007,-105.7530365,-109.54506683,-66.07740021,87.86494207849246,-8.591380785015511,1.149019446159142,0.988580043158119,-0.1485058041159428,0.0256032109972368,-0.0198278128410868,0.0402412200560878,0.9989932442445928,-0.14938659949082,-0.9880924401857728,0.0368371217699563
VID_20250107_103505_00_023.mp4.000180.0007,-106.3314743,-108.55640411,-66.01077271,86.54654139803114,13.80599424299304,2.5380395398313693,0.9701567017736528,0.2406355296696803,0.0298415124325208,-0.0430033048033458,0.0496304377474468,0.997841438017578,0.2386350556386429,-0.9693458420551404,0.0584974248215451
VID_20250107_103505_00_023.mp4.000192.0008,-107.5532074,-108.4148941,-66.08525085,85.49168582820931,40.23329745092401,3.4992598733603764,0.7619974601494499,0.6475001296999532,0.0101711732033138,-0.046595881182405,0.0391561718405476,0.9981460905416748,0.6459014588794663,-0.7610587206289261,0.0600077426007634
VID_20250107_103505_00_023.mp4.000204.0008,-109.42435455,-109.08489227,-65.97950745,74.52355752781153,74.64788703540358,20.03261699941517,0.2487322654005969,0.964531421844171,0.0883821046589709,-0.090691528920549,-0.0676562971272533,0.9935782163680332,0.9643170156803932,-0.2551504688106437,0.0706465252858816
